epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1579,1.21411,3.28017,1.4177,0.00341,1,0.50002,0.39845,0.6811,3.57261,1.04149,0.0002125,0.0002125,0.0002125
2,30.0957,0.89973,2.12341,1.13176,0.00376,1,0.70581,0.5565,0.70346,3.27761,1.03445,0.000433169,0.000433169,0.000433169
3,39.9501,0.8537,1.51928,1.10946,1,0.34662,0.87365,0.63053,0.95489,3.41179,1.26023,0.000649382,0.000649382,0.000649382
4,49.6763,0.83963,1.34248,1.1024,0.9826,0.99894,0.995,0.81676,0.74214,2.04765,1.07492,0.000861141,0.000861141,0.000861141
5,59.2285,0.92261,1.24808,1.10553,0.98825,0.97702,0.99438,0.80075,0.80963,2.13137,1.13099,0.00106844,0.00106844,0.00106844
6,68.7353,0.84973,1.18235,1.08736,0.96054,0.72148,0.94266,0.74742,0.75078,2.33335,1.08071,0.00118812,0.00118812,0.00118812
7,78.1169,0.84193,1.0847,1.08615,0.97912,0.98515,0.995,0.81391,0.79938,1.89535,1.0736,0.00117575,0.00117575,0.00117575
8,87.4764,0.82031,0.99637,1.05673,0.99096,0.98749,0.995,0.81466,0.76598,1.38952,1.06982,0.00116337,0.00116337,0.00116337
9,96.8493,0.84677,1.02729,1.09366,0.97862,0.98128,0.995,0.82515,0.73851,1.25784,1.05591,0.001151,0.001151,0.001151
10,106.295,0.83559,0.94321,1.06452,0.99484,0.98918,0.995,0.82819,0.69878,1.14555,1.02806,0.00113863,0.00113863,0.00113863
11,115.941,0.80031,0.87933,1.04232,0.99268,0.99585,0.995,0.82956,0.71083,1.05212,1.02948,0.00112625,0.00112625,0.00112625
12,125.721,0.78724,0.83833,1.04286,0.9951,0.98976,0.995,0.83047,0.72821,1.05477,1.04935,0.00111388,0.00111388,0.00111388
13,135.716,0.82218,0.83854,1.07416,0.98312,0.99637,0.995,0.83489,0.72562,1.0667,1.03362,0.0011015,0.0011015,0.0011015
14,145.452,0.79813,0.758,1.02993,0.99028,1,0.995,0.82802,0.72333,1.03134,1.02762,0.00108913,0.00108913,0.00108913
15,155.204,0.80015,0.80278,1.05875,0.98552,0.98659,0.99438,0.8187,0.71256,0.89183,1.03155,0.00107675,0.00107675,0.00107675
16,164.875,0.81843,0.72521,1.03724,0.99485,1,0.995,0.80502,0.71947,0.8377,1.04088,0.00106437,0.00106437,0.00106437
