epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.952,2.68613,4.56959,3.78088,0.60138,0.20714,0.05556,0.02411,1.32688,6.086,2.6519,0.000132848,0.000132848,0.000132848
2,283.164,1.64121,3.6201,2.4949,0.15091,0.29114,0.08792,0.06462,1.13949,3.52259,2.19578,0.000263547,0.000263547,0.000263547
3,398.974,1.18957,3.03076,1.88639,0.23297,0.57118,0.19197,0.14804,0.92379,3.0109,1.91838,0.000391605,0.000391605,0.000391605
4,521.134,1.02608,2.72467,1.68836,0.2384,0.52956,0.20835,0.17313,0.85937,2.74901,1.72822,0.00038812,0.00038812,0.00038812
5,640.229,0.9548,2.5248,1.59708,0.23716,0.49753,0.24152,0.19961,0.79825,2.36073,1.64582,0.00038416,0.00038416,0.00038416
6,757.767,0.90436,2.38201,1.52913,0.34234,0.53194,0.25312,0.20393,0.83247,2.53084,1.71732,0.0003802,0.0003802,0.0003802
7,877.072,0.85404,2.27849,1.47807,0.14411,0.4955,0.2547,0.20708,0.80072,2.21215,1.62248,0.00037624,0.00037624,0.00037624
8,994.981,0.83026,2.20198,1.44145,0.35528,0.61544,0.35379,0.28516,0.8512,2.12476,1.72139,0.00037228,0.00037228,0.00037228
9,1112.8,0.80659,2.14276,1.41035,0.33352,0.50609,0.39792,0.34242,0.65849,1.95081,1.44445,0.00036832,0.00036832,0.00036832
10,1230.42,0.77388,2.06781,1.38099,0.48174,0.45655,0.40284,0.34307,0.68396,2.01491,1.46998,0.00036436,0.00036436,0.00036436
11,1348.49,0.77067,2.00823,1.36943,0.28689,0.62963,0.40234,0.33682,0.69374,1.99785,1.48236,0.0003604,0.0003604,0.0003604
12,1466.55,0.756,1.9572,1.35138,0.39557,0.51568,0.47093,0.38621,0.74981,1.88175,1.56081,0.00035644,0.00035644,0.00035644
13,1584.4,0.74484,1.90724,1.33963,0.44751,0.65678,0.57634,0.48746,0.6464,1.51066,1.42239,0.00035248,0.00035248,0.00035248
14,1701.91,0.72921,1.85726,1.32442,0.39896,0.57899,0.5339,0.4517,0.64207,1.64536,1.39797,0.00034852,0.00034852,0.00034852
15,1820.98,0.71847,1.79177,1.30516,0.40875,0.7673,0.62266,0.5265,0.68938,1.46355,1.42007,0.00034456,0.00034456,0.00034456
16,1940.38,0.71252,1.73318,1.29865,0.58598,0.66399,0.69396,0.5969,0.61019,1.31916,1.36991,0.0003406,0.0003406,0.0003406
17,2056.76,0.71162,1.69904,1.29355,0.70355,0.72612,0.80674,0.69285,0.61466,1.11729,1.36416,0.00033664,0.00033664,0.00033664
18,2174.17,0.6993,1.64668,1.28259,0.57584,0.68638,0.7631,0.65953,0.63002,1.26554,1.37662,0.00033268,0.00033268,0.00033268
19,2291.45,0.69497,1.5914,1.27546,0.58052,0.70161,0.73617,0.63384,0.6105,1.30401,1.34534,0.00032872,0.00032872,0.00032872
20,2409.14,0.68675,1.53503,1.26375,0.71579,0.67237,0.82818,0.7112,0.61576,1.17318,1.33932,0.00032476,0.00032476,0.00032476
21,2526.74,0.67399,1.48144,1.25271,0.75244,0.8353,0.89374,0.77204,0.60846,0.85051,1.33942,0.0003208,0.0003208,0.0003208
22,2645.66,0.67436,1.45052,1.24888,0.86488,0.80577,0.9096,0.78901,0.58696,0.81903,1.32729,0.00031684,0.00031684,0.00031684
23,2764.93,0.66234,1.38923,1.23583,0.76913,0.73775,0.87945,0.76325,0.58548,0.89535,1.32885,0.00031288,0.00031288,0.00031288
24,2883.84,0.66284,1.36766,1.2394,0.90213,0.83858,0.91474,0.79069,0.59889,0.70237,1.32888,0.00030892,0.00030892,0.00030892
25,3004.83,0.65385,1.31109,1.23422,0.70528,0.80895,0.88027,0.7655,0.59297,0.89952,1.32786,0.00030496,0.00030496,0.00030496
26,3122.03,0.64518,1.28135,1.22523,0.90101,0.85764,0.9408,0.81184,0.59256,0.65591,1.31307,0.000301,0.000301,0.000301
27,3240.84,0.64943,1.25079,1.22374,0.86585,0.84133,0.92614,0.80909,0.57009,0.66241,1.29979,0.00029704,0.00029704,0.00029704
28,3359.91,0.6442,1.23028,1.22428,0.8912,0.85996,0.94526,0.82342,0.56361,0.62366,1.29342,0.00029308,0.00029308,0.00029308
29,3477.27,0.6314,1.19429,1.21101,0.79183,0.69678,0.89192,0.78163,0.56912,0.92276,1.3035,0.00028912,0.00028912,0.00028912
30,3596.33,0.63217,1.17427,1.21301,0.91772,0.91724,0.95438,0.82989,0.56617,0.53777,1.28207,0.00028516,0.00028516,0.00028516
31,3715.34,0.62717,1.13745,1.20913,0.94472,0.89237,0.96483,0.84704,0.54802,0.49968,1.26215,0.0002812,0.0002812,0.0002812
32,3832.47,0.63314,1.13229,1.20982,0.8767,0.92552,0.9658,0.8431,0.55439,0.57028,1.26148,0.00027724,0.00027724,0.00027724
33,3949.5,0.61735,1.09407,1.2029,0.91981,0.94031,0.9677,0.84896,0.54065,0.48692,1.2581,0.00027328,0.00027328,0.00027328
34,4066.92,0.61512,1.08558,1.19858,0.93958,0.94971,0.97535,0.84618,0.56985,0.44802,1.27939,0.00026932,0.00026932,0.00026932
35,4184.39,0.61611,1.05257,1.1973,0.95224,0.93375,0.96842,0.85054,0.54586,0.43005,1.25528,0.00026536,0.00026536,0.00026536
36,4301.74,0.60947,1.03281,1.19353,0.93501,0.94538,0.9707,0.85699,0.52855,0.43429,1.23554,0.0002614,0.0002614,0.0002614
